SHOE_NAME,Arch Support,Arch Type,Brand,Cushioning,Flexibility,Forefoot Height (mm),Heel Height (mm),Heel to Toe Drop (mm),MSRP (USD),Pronation,Release Date,Strike Pattern,Terrain,Toebox,Waterproofing,Weight (oz),Widths Available
Hoka Speedgoat 5,Neutral,High,Hoka,Plush,Balanced,29.0,33.0,4.0,155.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Trail,Medium,,9.7,"{Standard, Wide}"
Nike ZoomX Vaporfly NEXT% 2,Neutral,High,Nike,Balanced,Rigid,,,6.5,225.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Road,Narrow,,6.9,{}
Nike Zoom Fly 4,Neutral,High,Nike,Balanced,,,36.0,8.0,160.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Road,Narrow,,8.8,{Standard}
Saucony Endorphin Pro 3,Neutral,High,Saucony,Balanced,Balanced,31.5,39.5,8.0,225.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Road,Narrow,,7.2,{Standard}
Nike Pegasus Trail 3,Neutral,High,Nike,Balanced,Semi-Flexible,26.0,36.0,10.0,130.00,"{Supination, Underpronation, Neutral}",2021,{Heel},Trail,Medium,,11.3,{Standard}
Altra Lone Peak 5.0,Neutral,High,Altra,Balanced,Semi-Flexible,25.0,25.0,0.0,130.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Trail,Extra Wide,,10.6,"{Standard, Wide}"
Brooks Hyperion Tempo,Neutral,High,Brooks,Balanced,Semi-Flexible,20.0,28.0,8.0,150.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Road,Narrow,,7.3,{Standard}
Brooks Levitate 5,Neutral,High,Brooks,Firm,Balanced,21.0,29.0,8.0,150.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Road,Wide,,11.0,{Standard}
Saucony Ride 14,Neutral,High,Saucony,Balanced,Balanced,24.0,32.0,8.0,130.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Road,Medium,,9.9,"{Standard, Wide}"
PUMA Velocity Nitro 2,Neutral,High,PUMA,Balanced,Semi-Flexible,23.5,33.5,10.0,120.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Road,Wide,,9.1,"{Standard, Wide}"
ASICS Gel Nimbus 23,Neutral,High,ASICS,Balanced,Semi-Flexible,,,10.5,150.00,"{Supination, Underpronation, Neutral}",2020,{Heel},Road,Wide,,10.9,{}
Hoka Rocket X,Neutral,High,Hoka,Balanced,Balanced,25.0,30.0,5.0,180.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot}",Road,Wide,,7.4,{Standard}
Adidas Alphabounce+,Neutral,High,Adidas,Balanced,Semi-Flexible,10.0,20.0,10.0,100.00,"{Supination, Underpronation, Neutral}",2019,{Heel},Road,Medium,,12.5,{Standard}
Hoka Rincon 3,Neutral,High,Hoka,Plush,Semi-Flexible,24.0,29.0,5.0,115.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Road,Wide,,7.4,"{Narrow, Standard, Wide}"
Salomon Speedcross 6,Neutral,High,Salomon,Firm,Balanced,22.0,32.0,10.0,140.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Trail,Narrow,,10.5,"{Standard, Wide}"
Nike Pegasus Turbo Next Nature,Neutral,High,Nike,Balanced,Semi-Flexible,22.0,32.0,10.0,150.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Road,Medium,,9.7,{Standard}
Adidas 4DFWD 2,Neutral,High,Adidas,Plush,Semi-Flexible,,,10.5,200.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Road,Narrow,,12.4,{}
ASICS Gel Venture 8,Neutral,High,ASICS,Firm,Semi-Flexible,,,10.5,70.00,"{Supination, Underpronation, Neutral}",2021,{Heel},Trail,Narrow,,12.5,{}
Nike Revolution 6,Neutral,High,Nike,Firm,Balanced,14.0,24.0,10.0,65.00,"{Supination, Underpronation, Neutral}",2021,{},Road,Medium,,9.2,"{Standard, Wide, Extra Wide}"
Nike React Pegasus Trail 4,Neutral,High,Nike,Balanced,Semi-Flexible,26.0,36.0,10.0,140.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Trail,Medium,,10.4,"{Standard, Wide}"
Merrell Nova 2,Neutral,High,Merrell,Firm,Semi-Flexible,21.0,29.0,8.0,110.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Trail,Narrow,,9.9,"{Standard, Wide}"
Brooks Launch 9,Neutral,High,Brooks,Balanced,Balanced,,,10.5,110.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Road,Medium,,8.1,{}
ASICS Novablast,Neutral,High,ASICS,Plush,Semi-Flexible,22.0,32.0,10.0,130.00,"{Supination, Underpronation, Neutral}",2020,{Heel},Road,Narrow,,9.2,{Standard}
Mizuno Wave Rider 25,Neutral,High,Mizuno,Balanced,Semi-Flexible,24.0,36.0,12.0,135.00,"{Supination, Underpronation, Neutral}",2021,{Heel},Road,Medium,,9.8,"{Standard, Wide}"
Adidas Ultraboost DNA,Neutral,High,Adidas,Plush,Semi-Flexible,,,10.5,180.00,"{Supination, Underpronation, Neutral}",2020,{Heel},Road,Medium,,11.0,{}
Nike Wildhorse 7,Neutral,High,Nike,Firm,Semi-Rigid,22.0,30.0,8.0,130.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Trail,Medium,,11.0,{Standard}
Saucony Tempus,Stability,Low,Saucony,Balanced,Balanced,28.5,36.5,8.0,160.00,{Overpronation},2022,"{Forefoot, Midfoot, Heel}",Road,Wide,,8.9,"{Standard, Wide}"
Adidas Ultraboost 21,Neutral,High,Adidas,Plush,Balanced,20.5,30.5,10.0,180.00,"{Supination, Underpronation, Neutral}",2021,{Heel},Road,Medium,,12.0,{Standard}
Salomon XA Pro 3D,Stability,Low,Salomon,Firm,Balanced,,21.0,10.0,130.00,{Overpronation},,{Heel},Trail,Medium,,14.5,"{Standard, Wide}"
Brooks Launch 8,Neutral,High,Brooks,Balanced,Balanced,,,10.5,100.00,"{Supination, Underpronation, Neutral}",2020,{Heel},Road,Medium,,8.8,{}
Saucony Kinvara 13,Neutral,High,Saucony,Balanced,Semi-Flexible,,,2.5,120.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Road,Medium,,7.2,{}
Adidas Racer TR21,Neutral,High,Adidas,Plush,Semi-Flexible,,,,75.00,"{Supination, Underpronation, Neutral}",2021,{},Road,Medium,,10.1,"{Standard, Wide}"
Salomon Sense Ride 4,Neutral,High,Salomon,Firm,Balanced,19.0,27.0,8.0,120.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Trail,Wide,,10.2,{Standard}
ASICS GT 2000 10,Stability,Low,ASICS,Balanced,Balanced,14.0,22.0,8.0,100.00,{Overpronation},2021,"{Forefoot, Midfoot, Heel}",Road,Wide,,9.9,"{Standard, Wide, Extra Wide}"
Adidas Ultraboost 20,Neutral,High,Adidas,Plush,Semi-Flexible,,,10.5,180.00,"{Supination, Underpronation, Neutral}",2020,{Heel},Road,Medium,,10.9,{}
On Cloudswift,Neutral,High,On,Firm,Semi-Flexible,16.0,23.0,7.0,150.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot, Heel}",Road,Medium,,9.9,"{Narrow, Standard}"
Nike Air Zoom Pegasus 37,Neutral,High,Nike,Balanced,Semi-Flexible,14.0,24.0,10.0,120.00,"{Supination, Underpronation, Neutral}",2020,{Heel},Road,Wide,,10.5,"{Narrow, Standard, Wide}"
Hoka Gaviota 4,Stability,Low,Hoka,Balanced,Semi-Rigid,35.0,40.0,5.0,170.00,{Overpronation},2022,"{Forefoot, Midfoot, Heel}",Road,Medium,,11.4,"{Standard, Wide}"
PUMA Deviate Nitro 2,Neutral,High,PUMA,Plush,Semi-Rigid,,,6.0,160.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Road,Medium,,9.2,"{Standard, Wide}"
Brooks Catamount,Neutral,High,Brooks,Balanced,Semi-Flexible,,,6.5,160.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Trail,Wide,,9.3,{}
ASICS Gel Kayano 29,Stability,Low,ASICS,Balanced,Balanced,,,10.5,160.00,{Overpronation},2022,{Heel},Road,Wide,,10.5,{}
Brooks Levitate,Neutral,High,Brooks,Balanced,Semi-Flexible,,,8.0,150.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot, Heel}",Road,Medium,,11.2,{}
Nike Air Max 2017,Neutral,High,Nike,Balanced,Balanced,,,13.0,190.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,Narrow,,12.9,{}
Nike Free RN 2018,Neutral,High,Nike,Firm,Semi-Flexible,,,6.5,100.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot, Heel}",Road,Medium,,8.4,{}
Adidas Supernova+,Neutral,High,Adidas,Balanced,Balanced,,,10.0,120.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Road,Medium,,11.2,{}
ASICS Gel Cumulus 24,Neutral,High,ASICS,Plush,Semi-Flexible,,,6.5,130.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Road,Medium,,10.1,{}
Salomon Ultra Glide,Neutral,High,Salomon,Plush,Balanced,,,6.0,140.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Trail,Medium,,10.0,{}
Saucony Peregrine 12,Neutral,High,Saucony,Firm,Balanced,,,4.0,130.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Trail,Medium,,9.6,{}
Saucony Xodus Ultra,Neutral,High,Saucony,Balanced,Balanced,,,6.0,150.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Trail,Medium,,10.3,{}
ASICS Gel Kayano 27,Stability,Low,ASICS,Balanced,,,,10.0,160.00,{Overpronation},2020,{Heel},Road,Medium,,11.1,{}
Adidas Adizero Adios Pro 3,Neutral,High,Adidas,Balanced,Balanced,,,6.5,250.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Road,Wide,,7.9,{}
Nike Downshifter 12,Neutral,High,Nike,Balanced,Balanced,,,10.0,70.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Road,Medium,,9.9,{}
ASICS Gel Contend 7,Neutral,High,ASICS,Firm,Balanced,,,10.0,65.00,"{Supination, Underpronation, Neutral}",2021,{Heel},Road,Wide,,9.5,{}
Nike React Infinity Run Flyknit,Neutral,High,Nike,Plush,Semi-Flexible,,,10.5,160.00,"{Supination, Underpronation, Neutral}",2020,{Heel},Road,Medium,,9.7,{}
New Balance FuelCell Rebel v3,Neutral,High,New Balance,Plush,Balanced,,,6.0,130.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Road,Medium,,7.4,{}
Brooks Hyperion Max,Neutral,High,Brooks,Firm,Balanced,,,8.0,170.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Road,Medium,,7.8,{}
Adidas Alphaboost,Neutral,High,Adidas,Plush,Balanced,,,10.0,150.00,"{Supination, Underpronation, Neutral}",2019,{Heel},Road,Medium,,10.0,{}
Adidas Supernova 2,Neutral,High,Adidas,Plush,Semi-Rigid,,,9.0,100.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Road,Wide,,9.8,{}
Altra Torin 5,Neutral,High,Altra,Plush,,,,0.0,150.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Road,Wide,,9.0,{}
Hoka Torrent 2,Neutral,High,Hoka,Plush,Semi-Flexible,,,5.0,120.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot}",Trail,Medium,,9.7,{}
Mizuno Wave Rebellion Pro,Neutral,High,Mizuno,Balanced,Semi-Rigid,,,4.5,250.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot}",Road,Narrow,,7.7,{}
Brooks Cascadia 16,Neutral,High,Brooks,Balanced,Semi-Flexible,,,8.0,130.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Trail,Wide,,10.5,{}
Adidas Adistar,Neutral,High,Adidas,Balanced,Balanced,,,6.5,130.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Road,Wide,,11.2,{}
Saucony Endorphin Shift 2,Neutral,High,Saucony,Balanced,Balanced,,,4.0,140.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Road,Wide,,10.4,{}
On Cloudgo,Neutral,High,On,Balanced,Semi-Flexible,,,11.0,140.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Road,Wide,,7.5,{}
Saucony Guide 14,Stability,Low,Saucony,Balanced,Balanced,,,8.0,130.00,{Overpronation},2021,"{Forefoot, Midfoot, Heel}",Road,Medium,,10.5,{}
Nike Revolution 5,Neutral,High,Nike,Firm,Semi-Flexible,,,10.0,65.00,"{Supination, Underpronation, Neutral}",2019,{},Road,Medium,,9.0,{}
Nike Quest 5,Neutral,High,Nike,Firm,Balanced,,,,80.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Road,Narrow,,10.4,{}
ASICS Magic Speed,Neutral,High,ASICS,Plush,Balanced,,,5.0,150.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Road,Medium,,7.9,{}
ASICS Gel Cumulus 23,Neutral,High,ASICS,Balanced,Semi-Flexible,13.0,23.0,10.0,120.00,"{Supination, Underpronation, Neutral}",2021,{Heel},Road,Wide,,9.9,"{Standard, Wide, Extra Wide}"
Mizuno Wave Rider 24,Neutral,High,Mizuno,Firm,Balanced,20.0,32.0,12.0,130.00,"{Supination, Underpronation, Neutral}",2020,{Heel},Road,Medium,,9.6,"{Standard, Wide}"
Skechers Max Cushioning Elite,Neutral,High,Skechers,Firm,Semi-Flexible,,,6.0,90.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Road,Medium,,11.5,"{Standard, Wide, Extra Wide}"
Adidas Duramo 10,Neutral,High,Adidas,Balanced,Semi-Rigid,22.9,31.6,8.7,65.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Road,Medium,,9.7,"{Narrow, Standard, Wide}"
Altra Rivera,Neutral,High,Altra,Balanced,Semi-Flexible,26.0,26.0,0.0,130.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Road,Medium,,8.4,{Standard}
Nike Pegasus Trail 2,Neutral,High,Nike,Plush,Balanced,21.0,31.0,10.0,130.00,"{Supination, Underpronation, Neutral}",2020,{Heel},Trail,Medium,,11.1,{Standard}
Brooks Levitate 6,Neutral,High,Brooks,Balanced,Balanced,24.5,32.5,8.0,150.00,"{Supination, Underpronation, Neutral}",,{},Road,Medium,,10.9,{Standard}
Saucony Kinvara 12,Neutral,High,Saucony,Balanced,Semi-Flexible,24.5,28.5,4.0,110.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Road,Wide,,7.5,"{Standard, Wide}"
Altra Torin 6,Neutral,High,Altra,Balanced,Balanced,28.0,28.0,,150.00,"{Supination, Underpronation, Neutral}",2022,{},Road,Wide,,9.9,"{Standard, Wide}"
Adidas Pureboost,Neutral,High,Adidas,Plush,Semi-Flexible,16.0,26.0,10.0,140.00,"{Supination, Underpronation, Neutral}",,{Heel},Road,Medium,,10.5,{Standard}
Brooks Adrenaline GTS 20,Stability,Low,Brooks,Plush,Semi-Flexible,,,12.0,130.00,{Overpronation},2019,{Heel},Road,Wide,,10.7,"{Standard, Wide, Extra Wide}"
ASICS Gel Excite 9,Neutral,High,ASICS,Balanced,Semi-Flexible,,,10.5,75.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Road,Narrow,,9.0,{}
Altra Provision 6,Stability,Low,Altra,Firm,Balanced,28.0,28.0,0.0,140.00,{Overpronation},2022,"{Forefoot, Midfoot}",Road,Wide,,10.8,{Standard}
Hoka Carbon X 3,Neutral,High,Hoka,Balanced,Rigid,27.0,32.0,5.0,180.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Road,Medium,,8.5,{Standard}
PUMA Deviate Nitro Elite,Neutral,High,PUMA,Balanced,Balanced,28.0,36.0,8.0,200.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Road,Medium,,6.7,{Standard}
Adidas Ultraboost 5.0 DNA,Neutral,High,Adidas,Plush,Semi-Flexible,,,10.5,180.00,"{Supination, Underpronation, Neutral}",2021,{Heel},Road,Wide,,11.0,{}
New Balance Fresh Foam More v3,Neutral,High,New Balance,Plush,Balanced,29.0,33.0,4.0,165.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Road,Medium,,10.9,"{Standard, Wide, Extra Wide}"
On Cloudventure,Neutral,High,On,Firm,Semi-Flexible,24.0,30.0,6.0,160.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot, Heel}",Trail,Medium,,10.4,{Standard}
Hoka Carbon X 2,Neutral,High,Hoka,Firm,Semi-Rigid,27.0,32.0,5.0,180.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot}",Road,Wide,,8.7,{Standard}
